,time,Force_Fx1,Force_Fy1,Force_Fz1,Moment_Mx1,Moment_My1,Moment_Mz1,Force_Fx2,Force_Fy2,Force_Fz2,Moment_Mx2,Moment_My2,Moment_Mz2,Force_Fx3,Force_Fy3,Force_Fz3,Moment_Mx3,Moment_My3,Moment_Mz3,Force_Fx4,Force_Fy4,Force_Fz4,Moment_Mx4,Moment_My4,Moment_Mz4,Voltage_1,Voltage_2,Voltage_3,Voltage_4,Voltage_5,Voltage_6,Voltage_7,Voltage_8,Voltage_9,Voltage_10,Voltage_11,Voltage_12,Voltage_13,Voltage_14,Voltage_15,Voltage_16,Voltage_1-VM,Voltage_2-VL,Voltage_3-RF,Voltage_4-GRA,Voltage_5-TA,Voltage_6-AL,Voltage_7-ST,Voltage_8-BF,Voltage_9-MG,Voltage_10-LG,Voltage_11-TFL,Voltage_12-Gmax,Voltage_13-Gmed-intra,Voltage_14-PIR-intra,Voltage_15-OI-intra,Voltage_16-QF-intra,Force_Rig,TreadmillSpikes_1
0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.39352449774742126,-46.429996490478516,-685.626220703125,201135.234375,19759.703125,-1689.428955078125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00873565673828125,0.00667572021484375,0.01129150390625,0.01308441162109375,0.0122833251953125,0.01735687255859375,0.00274658203125,0.0148773193359375,0.00743865966796875,0.026397705078125,-0.00591278076171875,-0.0107574462890625,-0.01461029052734375,0.00885009765625,0.00457763671875,0.0251007080078125,0.174560546875,0.215606689453125,0.113525390625,0.115966796875,0.08056640625,0.1092529296875,0.103912353515625,0.111541748046875,0.13702392578125,0.11810302734375,0.12481689453125,0.118865966796875,3.374786376953125,-3.04229736328125,-3.0450439453125,-3.02398681640625,106.9729995727539,1.2499618530273438
1,0.0005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.7871262431144714,-46.56797409057617,-687.13037109375,201263.96875,19687.75390625,-1507.4180908203125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00720977783203125,0.0041961669921875,0.00766754150390625,0.01102447509765625,0.00667572021484375,0.0102996826171875,0.0019073486328125,0.01331329345703125,0.00507354736328125,0.014801025390625,-0.00293731689453125,-0.00606536865234375,-0.00804901123046875,0.0037384033203125,0.0018310546875,0.01583099365234375,0.095672607421875,0.107879638671875,0.1043701171875,0.10955810546875,0.081787109375,0.10955810546875,0.12481689453125,0.10955810546875,0.114593505859375,0.132598876953125,0.097808837890625,0.110015869140625,2.95806884765625,-2.81829833984375,-2.8106689453125,-2.821197509765625,98.29951477050781,1.2499618530273438
2,0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.705152750015259,-0.10004933923482895,-11.496942520141602,-4765.73583984375,585.3546142578125,1166.104736328125,0.7596517205238342,-46.95973587036133,-687.0862426757812,201561.734375,19569.828125,-1392.641357421875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0089263916015625,-0.00553131103515625,-0.01148223876953125,-0.01251220703125,-0.0109100341796875,-0.01689910888671875,-0.00270843505859375,-0.0144195556640625,-0.0057220458984375,-0.0273895263671875,0.00804901123046875,0.013275146484375,0.01598358154296875,-0.00682830810546875,-0.003662109375,-0.022125244140625,0.10528564453125,0.128936767578125,0.1123046875,0.11383056640625,0.102691650390625,0.11016845703125,0.10528564453125,0.117950439453125,0.101318359375,0.129547119140625,0.11444091796875,0.12237548828125,-3.028106689453125,3.4014892578125,3.4039306640625,3.377685546875,94.765869140625,1.2499618530273438
3,0.0015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-4.863173961639404,0.8672215342521667,-26.858400344848633,-11165.7216796875,921.5964965820312,1203.0162353515625,1.3529473543167114,-47.43983840942383,-688.28662109375,201316.78125,19762.765625,-1210.6181640625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.005950927734375,-0.00621795654296875,-0.00766754150390625,-0.007781982421875,-0.00766754150390625,-0.0098419189453125,-0.00171661376953125,-0.01087188720703125,-0.00354766845703125,-0.01697540283203125,0.00316619873046875,0.005645751953125,0.0084686279296875,-0.00537872314453125,-0.0012969970703125,-0.01590728759765625,0.1141357421875,0.0946044921875,0.103759765625,0.10772705078125,0.101470947265625,0.09735107421875,0.209503173828125,0.108642578125,0.13580322265625,0.110626220703125,0.1165771484375,0.1092529296875,-2.833099365234375,2.93853759765625,2.92755126953125,2.962493896484375,93.8021469116211,1.2499618530273438
4,0.002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.594003200531006,0.13907745480537415,-36.54813766479492,-13444.6171875,687.7483520507812,539.9751586914062,1.4692606925964355,-47.406715393066406,-686.7377319335938,201115.890625,19601.568359375,-1141.9300537109375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0083160400390625,0.00637054443359375,0.010833740234375,0.0131988525390625,0.010986328125,0.0177001953125,0.00339508056640625,0.015411376953125,0.00736236572265625,0.0258636474609375,-0.00457763671875,-0.0121307373046875,-0.0152587890625,0.00835418701171875,0.00453948974609375,0.0251007080078125,0.120086669921875,0.12451171875,0.1220703125,0.12451171875,0.109100341796875,0.1177978515625,0.065460205078125,0.11138916015625,0.130157470703125,0.140838623046875,0.130615234375,0.1123046875,3.379058837890625,-3.045654296875,-3.04473876953125,-3.024749755859375,107.29424285888672,1.2499618530273438
5,0.0025,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.49965935945510864,-0.3458098769187927,-44.246795654296875,-16290.8271484375,411.3417663574219,-546.6482543945312,1.4912625551223755,-47.42296600341797,-684.5562744140625,200785.203125,19729.591796875,-913.8965454101562,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00423431396484375,0.00301361083984375,0.00720977783203125,0.00926971435546875,0.00751495361328125,0.012054443359375,0.001068115234375,0.01247406005859375,0.00522613525390625,0.01583099365234375,-0.00240325927734375,-0.00408172607421875,-0.0084686279296875,0.0051116943359375,0.00080108642578125,0.0154876708984375,0.11199951171875,0.10955810546875,0.10406494140625,0.1043701171875,0.10162353515625,0.11260986328125,-0.035400390625,0.10162353515625,0.09307861328125,0.1031494140625,0.117645263671875,0.111236572265625,2.962188720703125,-2.82196044921875,-2.8094482421875,-2.822418212890625,109.8641586303711,1.2499618530273438
6,0.003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.0438010692596436,-0.9518203735351562,-54.47398376464844,-20093.193359375,111.772216796875,-1340.759765625,1.8847997188568115,-47.7046012878418,-683.2036743164062,200354.078125,19460.24609375,-904.3547973632812,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0115966796875,-0.004425048828125,-0.01068115234375,-0.01190185546875,-0.01056671142578125,-0.016326904296875,-0.00102996826171875,-0.0167083740234375,-0.00568389892578125,-0.0290679931640625,0.005950927734375,0.012054443359375,0.015716552734375,-0.006866455078125,-0.00606536865234375,-0.02445220947265625,0.12725830078125,0.138092041015625,0.1287841796875,0.123291015625,0.127410888671875,0.11871337890625,0.11505126953125,0.1287841796875,0.11749267578125,0.049896240234375,0.126495361328125,0.1251220703125,-3.02886962890625,3.40118408203125,3.40545654296875,3.37799072265625,92.1959457397461,1.2499618530273438
7,0.0035,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.035604953765869,-1.1510777473449707,-65.81695556640625,-23965.470703125,-49.48624801635742,-1827.82666015625,2.018629312515259,-47.379180908203125,-679.602294921875,199186.9375,19227.025390625,-689.2403564453125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.005340576171875,-0.00530242919921875,-0.006866455078125,-0.00942230224609375,-0.00629425048828125,-0.01056671142578125,0.0011444091796875,-0.0113677978515625,-0.0032806396484375,-0.01499176025390625,0.00148773193359375,0.00537872314453125,0.00720977783203125,-0.004730224609375,-0.00202178955078125,-0.01667022705078125,0.110321044921875,0.105133056640625,0.116729736328125,0.10986328125,0.1007080078125,0.1055908203125,0.112152099609375,0.10772705078125,0.12725830078125,0.087432861328125,0.1177978515625,0.107269287109375,-2.827301025390625,2.92877197265625,2.9278564453125,2.963714599609375,96.69331359863281,1.2499618530273438
8,0.004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.966938018798828,-1.1980135440826416,-77.9074935913086,-27930.177734375,-366.13677978515625,-2013.8890380859375,2.2567265033721924,-47.21331787109375,-677.0733032226562,198309.84375,19533.306640625,-550.1459350585938,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00919342041015625,0.00614166259765625,0.01087188720703125,0.0139617919921875,0.01003265380859375,0.01926422119140625,0.0011444091796875,0.0183868408203125,0.00579833984375,0.030059814453125,-0.00652313232421875,-0.0092315673828125,-0.01560211181640625,0.0101470947265625,0.003814697265625,0.0258636474609375,0.164337158203125,0.117034912109375,0.126495361328125,0.115203857421875,0.11627197265625,0.122528076171875,0.122222900390625,0.114288330078125,0.1727294921875,0.153656005859375,0.104522705078125,0.117340087890625,3.37677001953125,-3.043212890625,-3.04473876953125,-3.022918701171875,106.33052062988281,1.2499618530273438
9,0.0045000000000000005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4.8961405754089355,-0.9515110850334167,-88.06576538085938,-32133.705078125,-647.824462890625,-2080.814697265625,1.9906269311904907,-46.89881896972656,-674.1695556640625,197279.265625,19329.19921875,-429.3816223144531,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00400543212890625,0.00385284423828125,0.00888824462890625,0.0112152099609375,0.00713348388671875,0.01140594482421875,0.00179290771484375,0.01285552978515625,0.00377655029296875,0.01644134521484375,-0.00125885009765625,-0.005035400390625,-0.00911712646484375,0.0029754638671875,0.0022125244140625,0.01567840576171875,0.082855224609375,0.0946044921875,0.108795166015625,0.1116943359375,0.11474609375,0.108489990234375,0.11993408203125,0.110931396484375,0.115203857421875,0.0982666015625,0.110931396484375,0.10467529296875,2.962799072265625,-2.8167724609375,-2.808837890625,-2.818603515625,91.553466796875,1.2499618530273438
