Frame number,1173,,
First frame,1,,
Point frequency,200,,
Analog frequency,2000,,
,,,
Left_Foot Strike,0,3.6455,5.6235
Right_Foot Strike,0,3.655,
Right_Foot Off,3.0685,,
Left_Foot Off,3.0695,5.2865,
