,time,Force_Fx1,Force_Fy1,Force_Fz1,Moment_Mx1,Moment_My1,Moment_Mz1,Force_Fx2,Force_Fy2,Force_Fz2,Moment_Mx2,Moment_My2,Moment_Mz2,Force_Fx3,Force_Fy3,Force_Fz3,Moment_Mx3,Moment_My3,Moment_Mz3,Force_Fx4,Force_Fy4,Force_Fz4,Moment_Mx4,Moment_My4,Moment_Mz4,Voltage_1,Voltage_2,Voltage_3,Voltage_4,Voltage_5,Voltage_6,Voltage_7,Voltage_8,Voltage_9,Voltage_10,Voltage_11,Voltage_12,Voltage_13,Voltage_14,Voltage_15,Voltage_16,Voltage_1-VM,Voltage_2-VL,Voltage_3-RF,Voltage_4-GRA,Voltage_5-TA,Voltage_6-AL,Voltage_7-ST,Voltage_8-BF,Voltage_9-MG,Voltage_10-LG,Voltage_11-TFL,Voltage_12-Gmax,Voltage_13-Gmed-intra,Voltage_14-PIR-intra,Voltage_15-OI-intra,Voltage_16-QF-intra,Force_Rig,TreadmillSpikes_1
0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.999725818634033,-2.4677867889404297,-909.2840576171875,-282919.0625,40651.53125,1482.7506103515625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00782012939453125,0.01049041748046875,0.01941680908203125,0.01953125,0.01636505126953125,0.02071380615234375,0.0110626220703125,0.0301361083984375,0.00972747802734375,0.01255035400390625,0.02838134765625,0.03246307373046875,0.020904541015625,0.013580322265625,0.00812530517578125,0.0365447998046875,0.079345703125,0.088653564453125,0.0738525390625,0.0811767578125,0.075225830078125,0.080718994140625,-0.0579833984375,0.06591796875,0.06988525390625,-0.0146484375,0.078887939453125,0.08148193359375,0.075531005859375,0.651397705078125,1.278839111328125,0.559234619140625,3.890886068344116,1.2499618530273438
1,0.0005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.704285144805908,-2.8348212242126465,-909.79150390625,-282493.15625,40316.03515625,1451.2928466796875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00041961669921875,-0.00438690185546875,-0.0006866455078125,-0.00270843505859375,-0.0028228759765625,-0.00278472900390625,-0.0008392333984375,-0.005035400390625,-0.00179290771484375,-0.0014495849609375,-0.00720977783203125,-0.0025177001953125,0.004425048828125,-0.002288818359375,0.000152587890625,-0.00614166259765625,0.0579833984375,0.07476806640625,0.074615478515625,0.079193115234375,-0.03692626953125,0.074310302734375,0.09552001953125,0.0665283203125,0.07415771484375,0.0726318359375,0.086669921875,0.075531005859375,0.073394775390625,0.009002685546875,1.331787109375,1.791229248046875,7.035799026489258,1.2499618530273438
2,0.001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.4460604190826416,-2.27915620803833,-910.2556762695312,-282647.28125,40232.6171875,1331.5909423828125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00904083251953125,-0.00942230224609375,-0.0165557861328125,-0.0203704833984375,-0.0152587890625,-0.01895904541015625,-0.01209259033203125,-0.03009796142578125,-0.01155853271484375,-0.01003265380859375,-0.02826690673828125,-0.03253936767578125,-0.01705169677734375,-0.01323699951171875,-0.0075531005859375,-0.03681182861328125,0.076446533203125,0.06683349609375,0.075531005859375,0.076141357421875,0.05523681640625,0.06988525390625,0.08026123046875,0.0726318359375,0.04730224609375,0.0592041015625,0.018310546875,0.055084228515625,0.074920654296875,-0.443878173828125,-1.233367919921875,0.166168212890625,-5.229361057281494,1.2499618530273438
3,0.0015,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.9439468383789062,-2.5187084674835205,-909.085205078125,-282550.25,40224.04296875,1414.77099609375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.000762939453125,0.00194549560546875,0.000762939453125,0.00263214111328125,0.00057220458984375,0.00499725341796875,0.00141143798828125,0.00293731689453125,0.00213623046875,0.0025177001953125,0.00713348388671875,0.00385284423828125,-0.00354766845703125,0.00225067138671875,0.00202178955078125,0.0049591064453125,0.07415771484375,0.072479248046875,0.0799560546875,0.07781982421875,0.073089599609375,0.07598876953125,0.0433349609375,0.064697265625,0.09521484375,0.0372314453125,0.04425048828125,0.064697265625,0.07843017578125,-0.01251220703125,-1.183929443359375,-1.77734375,-3.656904458999634,1.2499618530273438
4,0.002,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-3.0426642894744873,-2.017122983932495,-907.18896484375,-282448.21875,40015.21875,1225.720703125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0106048583984375,0.01186370849609375,0.01628875732421875,0.022430419921875,0.01651763916015625,0.019073486328125,0.01255035400390625,0.0322723388671875,0.0089263916015625,0.01251220703125,0.02971649169921875,0.02857208251953125,0.01918792724609375,0.01392364501953125,0.0057220458984375,0.038299560546875,0.084228515625,0.074310302734375,0.0799560546875,0.071868896484375,0.09307861328125,0.071563720703125,0.0872802734375,0.07568359375,0.0946044921875,0.14068603515625,0.079803466796875,0.07354736328125,0.074310302734375,0.60638427734375,0.999298095703125,0.43975830078125,4.519868850708008,1.2499618530273438
5,0.0025,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.2348899841308594,-2.537689447402954,-907.2075805664062,-282016.71875,39947.9609375,1218.9256591796875,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0006103515625,-0.0002288818359375,-0.0018310546875,-0.00232696533203125,-0.0012969970703125,-0.00110626220703125,0.0005340576171875,-0.00415802001953125,-0.00080108642578125,-0.001068115234375,-0.00370025634765625,-0.00194549560546875,0.00583648681640625,-0.00064849853515625,-0.001373291015625,-0.00598907470703125,0.077056884765625,0.080108642578125,0.072784423828125,0.076141357421875,0.121917724609375,0.076141357421875,0.10650634765625,0.13641357421875,0.07537841796875,0.22369384765625,0.0701904296875,0.081329345703125,0.0750732421875,0.3607177734375,1.59393310546875,1.9171142578125,7.035799026489258,1.2499618530273438
6,0.003,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.380422353744507,-2.5000734329223633,-906.3890991210938,-282224.375,39845.57421875,1099.0374755859375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0093841552734375,-0.0109100341796875,-0.016937255859375,-0.02124786376953125,-0.0133514404296875,-0.0185394287109375,-0.01316070556640625,-0.02849578857421875,-0.01178741455078125,-0.0095367431640625,-0.0279998779296875,-0.02750396728515625,-0.01880645751953125,-0.01262664794921875,-0.0069427490234375,-0.0385284423828125,0.10101318359375,0.080108642578125,0.089263916015625,0.08880615234375,0.013885498046875,0.09063720703125,0.107421875,0.137939453125,0.09796142578125,0.07110595703125,0.09124755859375,0.08331298828125,0.08056640625,-0.329437255859375,-0.681304931640625,-0.151824951171875,-0.5119917392730713,1.2499618530273438
7,0.0035,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.445427179336548,-1.948268175125122,-906.130859375,-281962.09375,39621.8203125,1088.88525390625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.001220703125,0.00091552734375,0.0008392333984375,0.00225067138671875,0.0037384033203125,0.0026702880859375,-0.0025177001953125,0.00553131103515625,0.00095367431640625,0.00244140625,0.0030517578125,0.00019073486328125,-0.0049591064453125,0.0020599365234375,-0.0006103515625,0.00492095947265625,0.04913330078125,0.07568359375,0.073394775390625,0.079345703125,0.070648193359375,0.079498291015625,0.10894775390625,0.06011962890625,0.0360107421875,0.07965087890625,0.1092529296875,0.076446533203125,0.076446533203125,-0.14923095703125,-1.434173583984375,-2.03948974609375,-4.600378513336182,1.2499618530273438
8,0.004,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.112675189971924,-2.216033935546875,-905.3286743164062,-282038.1875,39659.375,1010.2144775390625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.009918212890625,0.0112152099609375,0.01705169677734375,0.02086639404296875,0.01674652099609375,0.01911163330078125,0.0119781494140625,0.03131866455078125,0.00682830810546875,0.012969970703125,0.0290679931640625,0.03009796142578125,0.01953125,0.01720428466796875,0.0081634521484375,0.03692626953125,0.080718994140625,0.07720947265625,0.08209228515625,0.07904052734375,0.068359375,0.06927490234375,-0.10498046875,-0.001220703125,0.0823974609375,0.08209228515625,0.07049560546875,0.079803466796875,0.075836181640625,0.57586669921875,1.02874755859375,0.496673583984375,4.834360122680664,1.2499618530273438
9,0.0045000000000000005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9834117889404297,-2.4956512451171875,-903.1937255859375,-281629.3125,39132.9296875,1061.757568359375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.00064849853515625,-0.00072479248046875,-0.0030517578125,-0.00141143798828125,-0.0003814697265625,0.0009918212890625,-0.00286102294921875,-0.0019073486328125,3.814697265625e-05,-0.00476837158203125,-0.002288818359375,0.0066375732421875,-0.0006103515625,-0.00057220458984375,-0.00537872314453125,0.052032470703125,0.073699951171875,0.074005126953125,0.082550048828125,0.073089599609375,0.082855224609375,0.0665283203125,0.06256103515625,0.08392333984375,0.10986328125,0.0848388671875,0.068817138671875,0.078277587890625,0.303955078125,1.688995361328125,1.979217529296875,11.753168106079102,1.2499618530273438
10,0.005,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0481855869293213,-2.7308969497680664,-903.9292602539062,-281729.3125,39238.4609375,962.0736694335938,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01010894775390625,-0.01232147216796875,-0.01583099365234375,-0.02269744873046875,-0.0153350830078125,-0.017852783203125,-0.01033782958984375,-0.030975341796875,-0.00804901123046875,-0.01186370849609375,-0.02902984619140625,-0.02712249755859375,-0.0215911865234375,-0.01129150390625,-0.00644683837890625,-0.03795623779296875,0.073089599609375,0.0714111328125,0.071258544921875,0.079193115234375,0.055084228515625,0.0775146484375,0.07568359375,0.079345703125,0.09063720703125,0.072021484375,0.088958740234375,0.071868896484375,0.07476806640625,-0.2264404296875,-1.03271484375,-0.5816650390625,0.43148207664489746,1.2499618530273438
11,0.0055,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.226731300354004,-2.980421781539917,-901.6683349609375,-281609.0625,39023.48828125,915.1503295898438,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00049591064453125,-0.0006866455078125,0.00110626220703125,0.00392913818359375,0.0022125244140625,0.001220703125,0.00171661376953125,0.00255584716796875,0.00232696533203125,0.00110626220703125,0.002288818359375,0.00156402587890625,-0.00698089599609375,0.0019073486328125,3.814697265625e-05,0.00576019287109375,0.073089599609375,0.073089599609375,0.08056640625,0.06927490234375,0.078582763671875,0.08148193359375,0.1165771484375,0.0799560546875,0.04791259765625,0.15960693359375,0.023193359375,0.086822509765625,0.077362060546875,-0.43243408203125,-1.551971435546875,-2.01446533203125,-5.54385232925415,1.2499618530273438
12,0.006,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.7456982135772705,-3.2438840866088867,-900.7091674804688,-281617.4375,38735.41796875,866.7445678710938,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00888824462890625,0.01132965087890625,0.01651763916015625,0.02185821533203125,0.0154876708984375,0.0183868408203125,0.010223388671875,0.0333404541015625,0.0080108642578125,0.01247406005859375,0.02933502197265625,0.0304412841796875,0.02216339111328125,0.01399993896484375,0.006866455078125,0.037078857421875,0.096893310546875,0.08392333984375,0.06744384765625,0.074005126953125,0.080413818359375,0.083160400390625,0.0396728515625,0.07781982421875,0.079345703125,0.0543212890625,0.054779052734375,0.085296630859375,0.075225830078125,0.45562744140625,1.14532470703125,0.71624755859375,5.14885139465332,1.2499618530273438
13,0.006500000000000001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.1759700775146484,-3.8039324283599854,-901.88330078125,-281336.71875,38601.69140625,855.8926391601562,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00286102294921875,-0.0009918212890625,-0.0016021728515625,-0.00171661376953125,-0.00019073486328125,-0.0009918212890625,0.0,-0.0030517578125,0.00026702880859375,-0.00102996826171875,-0.0026702880859375,0.00225067138671875,0.01018524169921875,-0.00133514404296875,-0.0005340576171875,-0.00461578369140625,0.0799560546875,0.086212158203125,0.084228515625,0.091705322265625,0.121002197265625,0.082244873046875,0.0250244140625,0.08544921875,0.076904296875,0.0555419921875,0.084991455078125,0.07171630859375,0.080413818359375,0.482177734375,1.952056884765625,2.41058349609375,6.092325210571289,1.2499618530273438
14,0.007,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.9655776023864746,-4.246586799621582,-898.2620849609375,-280922.4375,38171.859375,549.739990234375,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00949859619140625,-0.01132965087890625,-0.01667022705078125,-0.02162933349609375,-0.0157928466796875,-0.0189971923828125,-0.01262664794921875,-0.0290679931640625,-0.0087738037109375,-0.01186370849609375,-0.02956390380859375,-0.0323486328125,-0.0200653076171875,-0.01316070556640625,-0.0083160400390625,-0.03643035888671875,0.06591796875,0.077667236328125,0.0787353515625,0.07415771484375,0.0726318359375,0.076141357421875,0.10650634765625,0.0543212890625,0.0823974609375,0.0732421875,0.10101318359375,0.082550048828125,0.076751708984375,-0.71868896484375,-1.295166015625,-0.47698974609375,-3.3424131870269775,1.2499618530273438
15,0.0075,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.8445981740951538,-4.31253719329834,-897.0662231445312,-280809.53125,37899.03515625,493.1707458496094,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00110626220703125,0.0018310546875,0.0018310546875,0.0,0.00293731689453125,0.00240325927734375,-0.0006103515625,0.0031280517578125,0.00156402587890625,0.00232696533203125,0.00324249267578125,-0.0005340576171875,-0.00873565673828125,0.0038909912109375,0.00011444091796875,0.00331878662109375,0.076446533203125,0.073699951171875,0.078582763671875,0.066986083984375,0.088043212890625,0.0775146484375,0.10833740234375,0.08697509765625,0.05859375,0.126953125,0.1275634765625,0.073699951171875,0.076446533203125,-0.3875732421875,-1.71539306640625,-2.00592041015625,-6.487326145172119,1.2499618530273438
16,0.008,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-2.0282139778137207,-4.729142665863037,-898.5001220703125,-280200.40625,37600.49609375,571.1832275390625,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00873565673828125,0.01247406005859375,0.017547607421875,0.02338409423828125,0.0154876708984375,0.0188446044921875,0.0115966796875,0.0330352783203125,0.00949859619140625,0.009613037109375,0.0336456298828125,0.03200531005859375,0.02147674560546875,0.0147247314453125,0.00804901123046875,0.03803253173828125,0.07965087890625,0.074005126953125,0.06988525390625,0.074615478515625,0.069732666015625,0.074462890625,0.08087158203125,0.08514404296875,0.0592041015625,0.09674072265625,0.081787109375,0.0628662109375,0.078887939453125,0.790557861328125,1.522216796875,0.902099609375,12.382150650024414,1.2499618530273438
17,0.0085,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-1.1863034963607788,-5.049139022827148,-897.1915893554688,-280427.40625,37252.51171875,405.5792541503906,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00019073486328125,-0.00011444091796875,-0.00102996826171875,-0.00179290771484375,-0.00091552734375,0.00057220458984375,0.001068115234375,-0.0037384033203125,-0.00141143798828125,-0.00171661376953125,-0.000457763671875,0.0034332275390625,0.00640869140625,-0.0006103515625,0.0008392333984375,-0.00339508056640625,0.079803466796875,0.07415771484375,0.072784423828125,0.0689697265625,0.07568359375,0.071868896484375,0.08941650390625,0.07965087890625,0.0726318359375,0.04730224609375,0.024871826171875,0.064849853515625,0.076446533203125,0.552215576171875,1.85821533203125,1.84051513671875,9.237237930297852,1.2499618530273438
18,0.009000000000000001,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.8587106466293335,-5.0470685958862305,-897.068359375,-280159.5,36680.23046875,180.3533172607422,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01079559326171875,-0.0101470947265625,-0.01468658447265625,-0.02048492431640625,-0.0165557861328125,-0.017852783203125,-0.011749267578125,-0.0293731689453125,-0.00782012939453125,-0.0130462646484375,-0.030364990234375,-0.03063201904296875,-0.02178192138671875,-0.01491546630859375,-0.005950927734375,-0.0385284423828125,0.084228515625,0.07110595703125,0.0732421875,0.072174072265625,0.181427001953125,0.07354736328125,0.07476806640625,0.10162353515625,0.04058837890625,0.2374267578125,0.08697509765625,0.070648193359375,0.0732421875,-0.469818115234375,-1.078033447265625,-0.628509521484375,-3.656904458999634,1.2499618530273438
19,0.0095,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2655632495880127,-5.140542030334473,-896.14892578125,-280150.625,36346.24609375,6.7663116455078125,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.00179290771484375,0.00087738037109375,0.00148773193359375,0.00232696533203125,0.002899169921875,0.0018310546875,-0.00148773193359375,0.00415802001953125,0.00125885009765625,-0.00034332275390625,0.0012969970703125,-0.0022125244140625,-0.01007080078125,0.001220703125,0.00080108642578125,0.002899169921875,0.0836181640625,0.067901611328125,0.084381103515625,0.074462890625,0.039215087890625,0.07049560546875,0.01251220703125,0.0604248046875,0.05950927734375,0.05767822265625,0.09246826171875,0.08026123046875,0.0750732421875,-0.494537353515625,-1.715240478515625,-1.986846923828125,-4.600378513336182,1.2499618530273438
20,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.4733525514602661,-5.496983528137207,-895.9238891601562,-280041.96875,36157.34765625,-111.16740417480469,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.00946044921875,0.01171112060546875,0.01689910888671875,0.02155303955078125,0.01598358154296875,0.01949310302734375,0.01064300537109375,0.03139495849609375,0.0115203857421875,0.010833740234375,0.03406524658203125,0.02964019775390625,0.02384185791015625,0.01529693603515625,0.0092315673828125,0.03925323486328125,0.084228515625,0.085296630859375,0.078277587890625,0.0909423828125,0.055694580078125,0.08056640625,0.0823974609375,0.0750732421875,0.01617431640625,0.04150390625,0.056304931640625,0.080718994140625,0.081787109375,0.70343017578125,1.356964111328125,1.1138916015625,5.777833938598633,1.2499618530273438
