pid,trial,task,group,peak_N
038,SJ_pre5,SJ,Vasti,6087.35745558
038,SJ_pre5,SJ,Gluteus maximus,1497.8065273
038,SJ_pre5,SJ,Gluteus medius,2417.15851954
038,SJ_pre5,SJ,Gluteus minimus,1195.19100561
038,SJ_pre5,SJ,Hamstrings,5005.67180448
038,SJ_pre5,SJ,Adductors,3535.53319693
038,SJ_pre5,SJ,Triceps surae,8584.374671450001
038,SJ_pre5,SJ,Iliopsoas,2523.13289352
038,SJ_pre5,SJ,Rectus femoris,2682.76557201
038,SJ_pre5,SJ,Tibialis anterior,1684.14896235
038,SJ_pre5,SJ,Piriformis,879.80251153
039,SJ_pre1,SJ,Vasti,7149.419908309999
039,SJ_pre1,SJ,Gluteus maximus,2390.47499984
039,SJ_pre1,SJ,Gluteus medius,2501.5164060300003
039,SJ_pre1,SJ,Gluteus minimus,1396.78918119
039,SJ_pre1,SJ,Hamstrings,4437.53752453
039,SJ_pre1,SJ,Adductors,2853.3472765899996
039,SJ_pre1,SJ,Triceps surae,7305.31378384
039,SJ_pre1,SJ,Iliopsoas,1899.4440575600001
039,SJ_pre1,SJ,Rectus femoris,2654.30940959
039,SJ_pre1,SJ,Tibialis anterior,1664.62092895
039,SJ_pre1,SJ,Piriformis,1052.10300146
039,SJ_pre2,SJ,Vasti,6919.597882810001
039,SJ_pre2,SJ,Gluteus maximus,2573.3857682
039,SJ_pre2,SJ,Gluteus medius,2738.8571452300002
039,SJ_pre2,SJ,Gluteus minimus,1435.67165222
039,SJ_pre2,SJ,Hamstrings,4701.443035349999
039,SJ_pre2,SJ,Adductors,3305.5737278399997
039,SJ_pre2,SJ,Triceps surae,8442.84870331
039,SJ_pre2,SJ,Iliopsoas,2149.88739576
039,SJ_pre2,SJ,Rectus femoris,2625.12857642
039,SJ_pre2,SJ,Tibialis anterior,1659.32602105
039,SJ_pre2,SJ,Piriformis,855.25989408
039,SJ_pre3,SJ,Vasti,6764.90285956
039,SJ_pre3,SJ,Gluteus maximus,2772.78862454
039,SJ_pre3,SJ,Gluteus medius,2565.21469323
039,SJ_pre3,SJ,Gluteus minimus,1418.66998947
039,SJ_pre3,SJ,Hamstrings,4699.35557222
039,SJ_pre3,SJ,Adductors,2980.93933629
039,SJ_pre3,SJ,Triceps surae,8289.84777151
039,SJ_pre3,SJ,Iliopsoas,1847.7854207199998
039,SJ_pre3,SJ,Rectus femoris,2651.65793907
039,SJ_pre3,SJ,Tibialis anterior,1658.44252144
039,SJ_pre3,SJ,Piriformis,758.65983781
039,SJ_pre4,SJ,Vasti,6966.04525789
039,SJ_pre4,SJ,Gluteus maximus,2903.6012279399997
039,SJ_pre4,SJ,Gluteus medius,2432.39301971
039,SJ_pre4,SJ,Gluteus minimus,1327.87751139
039,SJ_pre4,SJ,Hamstrings,4613.67617376
039,SJ_pre4,SJ,Adductors,3376.869129
039,SJ_pre4,SJ,Triceps surae,7648.493332370001
039,SJ_pre4,SJ,Iliopsoas,1959.5042852299998
039,SJ_pre4,SJ,Rectus femoris,2687.91109377
039,SJ_pre4,SJ,Tibialis anterior,1664.71834394
039,SJ_pre4,SJ,Piriformis,951.8252004
039,SJ_pre5,SJ,Vasti,6762.55856231
039,SJ_pre5,SJ,Gluteus maximus,1968.1718864100003
039,SJ_pre5,SJ,Gluteus medius,2544.4938678
039,SJ_pre5,SJ,Gluteus minimus,1381.05935642
039,SJ_pre5,SJ,Hamstrings,4796.737445659999
039,SJ_pre5,SJ,Adductors,3287.40806097
039,SJ_pre5,SJ,Triceps surae,7074.61575217
039,SJ_pre5,SJ,Iliopsoas,2611.21492801
039,SJ_pre5,SJ,Rectus femoris,2545.06712507
039,SJ_pre5,SJ,Tibialis anterior,1662.52831616
039,SJ_pre5,SJ,Piriformis,961.25191056
040,SJ_pre1,SJ,Vasti,12328.973001479999
040,SJ_pre1,SJ,Gluteus maximus,3539.91696877
040,SJ_pre1,SJ,Gluteus medius,3264.13778042
040,SJ_pre1,SJ,Gluteus minimus,1287.9036036399998
