task,group,mean,std,count
SJ,Adductors,3459.7923718545453,402.66271818183645,11
SJ,Gluteus maximus,1982.907271034,719.7871835118306,11
SJ,Gluteus medius,2533.8816997130907,322.5590440268255,11
SJ,Gluteus minimus,1301.133838568,81.43706843804857,11
SJ,Hamstrings,4545.497383709273,407.02789884268543,11
SJ,Iliopsoas,2423.8717429036365,312.9912559309935,11
SJ,Piriformis,818.1213243709091,211.80841829450867,11
SJ,Rectus femoris,2550.9011486732725,117.92846729839171,11
SJ,Tibialis anterior,1527.7582505005455,299.72096258102636,11
SJ,Triceps surae,7462.494405720363,2105.4545963493842,11
SJ,Vasti,7134.9620449916365,2195.517031512343,11
SLS back,Adductors,3424.521687573333,349.7420450400402,4
SLS back,Gluteus maximus,3075.8743246075,172.78216797904338,4
SLS back,Gluteus medius,2879.2275316591667,149.75061955252704,4
SLS back,Gluteus minimus,1295.59399079,79.99894360433035,4
SLS back,Hamstrings,4570.068975770833,436.41458432564724,4
SLS back,Iliopsoas,2485.7668359199997,180.29069630156286,4
SLS back,Piriformis,1114.5458093225,84.99576188387141,4
SLS back,Rectus femoris,2269.019863745,157.11845663616845,4
SLS back,Tibialis anterior,1389.0212720141667,80.01843319325447,4
SLS back,Triceps surae,9312.6020032825,962.3746635897114,4
SLS back,Vasti,10754.654860545834,401.9991179339596,4
SLS front,Adductors,3492.5754037441666,190.7005720130201,4
SLS front,Gluteus maximus,2938.3562660041666,198.25206014346062,4
SLS front,Gluteus medius,2528.8690749825,248.8826621900316,4
SLS front,Gluteus minimus,1284.2175955783334,60.00651462093827,4
SLS front,Hamstrings,4324.272237763334,289.29107971476344,4
SLS front,Iliopsoas,2435.055106136667,153.56298788985026,4
SLS front,Piriformis,890.5927951925,87.89139212348972,4
SLS front,Rectus femoris,2254.2295890383334,257.8831255553937,4
SLS front,Tibialis anterior,1381.3427191783335,85.64538089025102,4
SLS front,Triceps surae,10412.412457700833,1086.0486496409892,4
SLS front,Vasti,10528.803918621667,697.0868852606363,4
